,In0.05,In0.01,In0.001,In0.0001,De0.05,De0.01,De0.001,De0.0001
Early.Fetal,0.246153846,0.343937008,0.485853659,1,0.977066667,0.464810127,1,1
Early.Mid.Fetal,1.17E-08,0.010235294,1,1,3.54E-10,0.004231111,0.021333333,0.140487805
Late.Mid.Fetal,0.092307692,0.029387755,0.421621622,1,0.15627907,0.211376147,0.929174312,0.5
Late.Fetal,0.021333333,0.951272727,1,1,0.115443038,0.436078431,1,1
Neotal.Early.Infancy,0.012972973,0.752941176,0.436078431,0.752941176,0.048813559,0.163636364,0.37106383,0.202352941
Late.Infancy,0.186947368,0.37106383,0.977066667,1,0.077647059,0.001597714,0.092307692,0.712727273
Early.Childhood,0.189090909,0.856338028,1,1,0.08,0.029387755,1,1
Middle.Late.Childhood,0.167191011,0.473962264,1,1,0.268,0.189090909,0.211376147,0.37106383
Adolescence,0.043636364,0.142857143,0.436078431,0.511242604,0.142857143,0.029387755,0.37106383,0.474
Young.Adulthood,0.186947368,0.417534247,0.513684211,0.708923077,0.043636364,0.002253913,0.00832,0.65106383
